username,date,content,votes
@anindita1280,4 months ago,"Lah gimana wargany ,,klo bner untuk meyelmatkn hutan n gajah kenapa warga nya ngamuk,klo terjdi banjir bandang n tanah longsong gimana?
Kecuali kalo hutan akan di jadikan tambang atau hal buruk lainya",1
@AyoiBastani,4 months ago,Hahaha lawak la.. manusia yang menceroboh hutan.. binatang yang d salahkan... bila gajah masuk kebun marah.lah lo yang masuk kawasan haiwan,0
@Nurull0502,4 months ago,"Hutan teso nilo jadi korban kebijakan menteri kehutanan dan kepala daerah, ada apa dengan  masyarakat riau yang diam dan membisu ketika tanah Ulayat ini diperkosa oleh para pendatang, tidakkah pemangku adat bisa jadi pagar bumi lancang kuning ini?",0
@Nalah-s8p,4 months ago,Ketegasan dan kebijakan pemerintah hanya lelucon warga manusia bumi... sandiwara dan sinotron yg menyedihkan...,0
@keepcalm212,4 months ago,Zulkifli Hasan adalah dalangnya,0
@anikk7101,4 months ago,"itulah akibat pembiaran bertahun tahun, masalah jadi kompleks. Tetap saja pemerintah harus tegas ke masyarakat dan perusahaan dengan solusi yang tepat bagi masayarakat juga.",0
@planters77,4 months ago,Apa yg salah dengan tanaman sawit?,0
@BobVahn,4 months ago, @planters77  salah nya untuk nanam sawit tanaman lain kecuali sawit harus di musnahkan dulu,0
@zaidhilmi3137,4 months ago,"YA,IYALAH WONGDIO PUNYA KEBUN SAWIT BERHEKTAR2 DI SUMATRA DAN KALIMANTAN,JDI OMON2 KAYAK GTU, TAPI DIBALAS SAMA ALAM YG MARAH KERNA  OMONGYA HUTAN DI BABAT HABIS DIGUNDULIH DI JDKAN KEBUN SAWT,AKHIRNYA RAKYAT JUGA YG MENANGGUNG BEBAN PENDERITAAN KRNA BANJIR BANDANG YG MEMBAWAK GLONDONGAN KAYU DAN LUMPUR,MIRIS SEKALI RAKYAT KONOHA DPT MUSIBAHNYA AKIBAT ULH PEJABAT2NYA DEMI CUAN",0
@RianNew-zs5df,4 months ago,Itu manusia2 seraka yg hampir triliunan asetnya itu yg harus di periksa karena terlalu seraka.,0
@anindita1280,4 months ago,"Nah itu pemerintah mau menertibkan lahan sawit untuk jdi tanam nasional supaya gajah sumtra slamat, lah wargay ko menolak alasan apa?",0
@BajoelJunior,4 months ago,Tenang...kalo terjadi bencana tinggal nyalahin pemerintah.... gitu aja kok repot 😜😜😜😜,0
@anindita1280,4 months ago,"​ @BajoelJunior 
Lah ini pasti ad dekengan mafia nya,,,mengtaskn nama warga setempat",0
@VickyAchmdeffandi,4 months ago,Prabowo mana prabowoo,0
@satrioopiningit,4 months ago (edited),Itu perusahaan China buka lahan buat perkebunan..tolak aja wahai warga..itu tanah nenek moyang kalian.jangan mau di rampas..pertahankan sampe titik darah terakhir demi anak cucu kalian..tugas utama negara mensejahterakan rakyatnya.,0
@nurcholis4312,4 months ago,Mulai tahun 1974 jaman orba pak suharto sang pahlawan nasional,0
@hanamardhiyahrahayu6080,4 months ago,Maafkan yaa gajah kalian jadi WNI mungkin kalau kalian jadi warga negara lain kesejahtraan kalian aman,0
@Highwhyman19,4 months ago,"haha nyogok izin kebon sawit palsu, tapi yang nyogok warga sekitar juga. 

laen kali kalo musibah gausah main tunjuk, mikir & merenung. alat berat yang dipake buat rusak alam pun kalo mau masuk dipalak warga dulu, sama aja korup nya.",0
@maidasuhaini1272,4 months ago,Domang ssma Tari mana? 😢😢😢,0
@HendriAgustian-ki1wb,4 months ago,Pengusaha ILegal Cari Aman Bikin Perkebunan Atas Nama Rakyat ..✍️,0
@WakGondrong-f8j,4 months ago,Pemerintah mana yang munafiq  ?.  Pusat atau daerah?.  Kalau sudah di tetapkan  jadi taman Nasional.   Kenapa masih di berikan izin  kepada PT. Untuk pengelolaan hutan  ?.   Munafiq itu memang  penyakit   kebanyakan  orang orang penghuni  Indonesia ini.,0
@WakGondrong-f8j,4 months ago,Yang salah itu. Dua duanya.  Pemerintah yang memberikan izin. Kepada PT dan Perusahaan yang serakah itu sendiri. . Mereka semua.  Grombolan Munafiqun.,0
@rudyhartono8941,4 months ago,HANCUR...HANCUR...BILA PEMERINTAH TULI...AKAN HANCUR ALAM NEGARA INI,0
@shantibudilestari6595,4 months ago,Tari udah meninggal 😢😢😢😢😢,0
@maidasuhaini1272,4 months ago,"​ @shantibudilestari6595 😢😢😢😢 Ya Allah, kenapa? Dibunuh ya? Jahat banget. Ada linknya?",0
